angle,expected_cos,actual_cos,expected_sin,actual_sin
 25008,   728,   726, 16368, 16368
  2578, 16181, 16181,  2569,  2569
 13640, 11026, 11028, 12119, 12117
 10421, 13178, 13180,  9733,  9731
 19767,  5831,  5831, 15311, 15311
 10984, 12838, 12838, 10179, 10179
-24759,   979,   977,-16355,-16355
-11464, 12538, 12536,-10551,-10551
 22701,  3017,  3015, 16106, 16106
 20141,  5481,  5487, 15437, 15435
 17853,  7583,  7581, 14526, 14526
-15409,  9652,  9656,-13236,-13234
 -1518, 16316, 16316, -1514, -1520
  7955, 14490, 14490,  7647,  7645
 17187,  8163,  8165, 14204, 14204
-16707,  8585,  8579,-13957,-13961
 12102, 12113, 12113, 11032, 11032
 11779, 12328, 12330, 10792, 10790
 18554,  6952,  6950, 14839, 14839
 12635, 11746, 11746, 11421, 11421
 12465, 11865, 11869, 11299, 11295
 15248,  9785,  9783, 13139, 13141
  2030, 16256, 16256,  2026,  2028
